Date,All Grades Reformulated Retail Gasoline Prices,Regular Reformulated Retail Gasoline Prices,Midgrade Reformulated Retail Gasoline Prices,Premium Reformulated Retail Gasoline Prices,No 2 Diesel Retail Prices
1/7/2019,2.578,2.465,2.895,3.069,3.013
1/14/2019,2.578,2.466,2.888,3.069,2.976
1/21/2019,2.577,2.468,2.885,3.055,2.965
1/28/2019,2.567,2.458,2.866,3.045,2.965
2/4/2019,2.561,2.451,2.867,3.04,2.966
2/11/2019,2.577,2.466,2.883,3.062,2.966
2/18/2019,2.61,2.502,2.906,3.081,3.006
2/25/2019,2.664,2.56,2.937,3.124,3.048
3/4/2019,2.678,2.574,2.956,3.137,3.076
3/11/2019,2.726,2.625,2.999,3.175,3.079
3/18/2019,2.8,2.7,3.064,3.244,3.07
3/25/2019,2.893,2.793,3.162,3.337,3.08
4/1/2019,2.967,2.863,3.25,3.419,3.078
4/8/2019,3.055,2.949,3.355,3.518,3.093
4/15/2019,3.162,3.052,3.478,3.635,3.118
4/22/2019,3.206,3.097,3.515,3.677,3.147
4/29/2019,3.264,3.156,3.571,3.734,3.169
5/6/2019,3.279,3.171,3.583,3.748,3.171
5/13/2019,3.256,3.149,3.554,3.726,3.16
5/20/2019,3.236,3.129,3.536,3.706,3.163
5/27/2019,3.2,3.094,3.493,3.67,3.151
6/3/2019,3.164,3.058,3.458,3.627,3.136
6/10/2019,3.086,2.976,3.398,3.561,3.105
6/17/2019,3.032,2.923,3.344,3.505,3.07
6/24/2019,3.002,2.896,3.299,3.471,3.043
7/1/2019,3.043,2.938,3.336,3.505,3.042
7/8/2019,3.06,2.956,3.348,3.517,3.055
7/15/2019,3.089,2.987,3.365,3.539,3.051
7/22/2019,3.062,2.959,3.345,3.513,3.044
7/29/2019,3.032,2.928,3.318,3.491,3.034
8/5/2019,3.007,2.902,3.3,3.469,3.032
8/12/2019,2.946,2.839,3.242,3.417,3.011
8/19/2019,2.914,2.807,3.21,3.387,2.994
8/26/2019,2.905,2.797,3.206,3.374,2.983
9/2/2019,2.893,2.782,3.207,3.377,2.976
9/9/2019,2.876,2.765,3.194,3.357,2.971
9/16/2019,2.874,2.763,3.186,3.359,2.987
9/23/2019,2.964,2.852,3.286,3.45,3.081
9/30/2019,3.033,2.907,3.409,3.571,3.066
10/7/2019,3.058,2.929,3.449,3.61,3.047
10/14/2019,3.048,2.919,3.438,3.597,3.051
10/21/2019,3.036,2.91,3.419,3.568,3.05
10/28/2019,2.995,2.871,3.366,3.522,3.064
11/4/2019,2.994,2.866,3.379,3.535,3.062
11/11/2019,3.004,2.879,3.379,3.535,3.073
11/18/2019,2.971,2.851,3.323,3.49,3.074
11/25/2019,2.936,2.817,3.287,3.449,3.066
12/2/2019,2.894,2.775,3.236,3.406,3.07
12/9/2019,2.863,2.745,3.197,3.372,3.049
12/16/2019,2.845,2.73,3.17,3.351,3.046
12/23/2019,2.833,2.718,3.153,3.33,3.041
12/30/2019,2.862,2.751,3.176,3.338,3.069
1/6/2020,2.87,2.761,3.176,3.342,3.079
1/13/2020,2.871,2.762,3.178,3.345,3.064
1/20/2020,2.841,2.731,3.155,3.318,3.037
1/27/2020,2.818,2.706,3.129,3.304,3.01
2/3/2020,2.779,2.664,3.11,3.274,2.956
2/10/2020,2.74,2.624,3.075,3.241,2.91
2/17/2020,2.742,2.626,3.077,3.241,2.89
2/24/2020,2.78,2.666,3.101,3.27,2.882
3/2/2020,2.754,2.639,3.085,3.248,2.851
3/9/2020,2.713,2.597,3.049,3.209,2.814
3/16/2020,2.6,2.483,2.942,3.098,2.733
3/23/2020,2.478,2.361,2.828,2.97,2.659
3/30/2020,2.378,2.26,2.731,2.875,2.586
4/6/2020,2.304,2.185,2.658,2.806,2.548
4/13/2020,2.224,2.106,2.568,2.729,2.507
4/20/2020,2.186,2.068,2.529,2.687,2.48
4/27/2020,2.141,2.025,2.477,2.644,2.437
5/4/2020,2.136,2.02,2.465,2.639,2.399
5/11/2020,2.182,2.069,2.5,2.677,2.394
5/18/2020,2.211,2.095,2.536,2.712,2.386
5/25/2020,2.267,2.153,2.588,2.761,2.39
6/1/2020,2.285,2.169,2.601,2.784,2.386
6/8/2020,2.338,2.226,2.652,2.824,2.396
6/15/2020,2.384,2.272,2.695,2.869,2.403
6/22/2020,2.414,2.303,2.721,2.901,2.425
6/29/2020,2.456,2.346,2.761,2.935,2.43
7/6/2020,2.456,2.344,2.764,2.94,2.437
7/13/2020,2.482,2.372,2.786,2.963,2.438
7/20/2020,2.484,2.373,2.789,2.964,2.433
7/27/2020,2.482,2.369,2.793,2.97,2.427
8/3/2020,2.481,2.37,2.793,2.964,2.424
8/10/2020,2.466,2.354,2.782,2.954,2.428
8/17/2020,2.473,2.359,2.791,2.966,2.427
8/24/2020,2.491,2.378,2.817,2.981,2.426
8/31/2020,2.523,2.411,2.84,3.011,2.441
9/7/2020,2.518,2.405,2.836,3.008,2.435
9/14/2020,2.497,2.383,2.82,2.992,2.422
9/21/2020,2.478,2.365,2.803,2.972,2.404
9/28/2020,2.463,2.346,2.799,2.966,2.394
10/5/2020,2.464,2.349,2.793,2.965,2.387
10/12/2020,2.465,2.35,2.794,2.965,2.395
10/19/2020,2.454,2.338,2.787,2.957,2.388
10/26/2020,2.455,2.34,2.785,2.955,2.385
11/2/2020,2.43,2.314,2.765,2.936,2.372
11/9/2020,2.417,2.3,2.755,2.926,2.383
11/16/2020,2.429,2.312,2.765,2.936,2.441
11/23/2020,2.422,2.305,2.759,2.933,2.462
11/30/2020,2.444,2.329,2.778,2.947,2.502
12/7/2020,2.469,2.355,2.798,2.968,2.526
12/14/2020,2.474,2.361,2.8,2.973,2.559
12/21/2020,2.522,2.41,2.843,3.015,2.619
12/28/2020,2.535,2.423,2.858,3.031,2.635
1/4/2021,2.549,2.437,2.867,3.042,2.64
1/11/2021,2.61,2.498,2.927,3.101,2.67
1/18/2021,2.688,2.579,2.995,3.166,2.696
1/25/2021,2.703,2.593,3.014,3.191,2.716
